Total Nacional	Comunidades y Ciudades Autónomas	Edad (grupos quinquenales)	Españoles/Extranjeros	Sexo	Año	Total
Total Nacional		65-69 años	TOTAL	Ambos sexos	2022	2.548.001
Total Nacional		70-74 años	TOTAL	Ambos sexos	2022	2.225.627
Total Nacional		75-79 años	TOTAL	Ambos sexos	2022	1.840.899
Total Nacional		80-84 años	TOTAL	Ambos sexos	2022	1.256.786
Total Nacional		85-89 años	TOTAL	Ambos sexos	2022	1.004.545
Total Nacional		90-94 años	TOTAL	Ambos sexos	2022	464.255
Total Nacional		95-99 años	TOTAL	Ambos sexos	2022	119.258
Total Nacional		100 años y más	TOTAL	Ambos sexos	2022	19.639
Total Nacional	01 Andalucía	65-69 años	TOTAL	Ambos sexos	2022	438.137
Total Nacional	01 Andalucía	70-74 años	TOTAL	Ambos sexos	2022	367.290
Total Nacional	01 Andalucía	75-79 años	TOTAL	Ambos sexos	2022	301.419
Total Nacional	01 Andalucía	80-84 años	TOTAL	Ambos sexos	2022	200.271
Total Nacional	01 Andalucía	85-89 años	TOTAL	Ambos sexos	2022	144.390
Total Nacional	01 Andalucía	90-94 años	TOTAL	Ambos sexos	2022	59.384
Total Nacional	01 Andalucía	95-99 años	TOTAL	Ambos sexos	2022	13.172
Total Nacional	01 Andalucía	100 años y más	TOTAL	Ambos sexos	2022	2.925
Total Nacional	02 Aragón	65-69 años	TOTAL	Ambos sexos	2022	74.669
Total Nacional	02 Aragón	70-74 años	TOTAL	Ambos sexos	2022	65.322
Total Nacional	02 Aragón	75-79 años	TOTAL	Ambos sexos	2022	55.970
Total Nacional	02 Aragón	80-84 años	TOTAL	Ambos sexos	2022	38.918
Total Nacional	02 Aragón	85-89 años	TOTAL	Ambos sexos	2022	35.213
Total Nacional	02 Aragón	90-94 años	TOTAL	Ambos sexos	2022	17.595
Total Nacional	02 Aragón	95-99 años	TOTAL	Ambos sexos	2022	4.559
Total Nacional	02 Aragón	100 años y más	TOTAL	Ambos sexos	2022	688
Total Nacional	03 Asturias, Principado de	65-69 años	TOTAL	Ambos sexos	2022	72.662
Total Nacional	03 Asturias, Principado de	70-74 años	TOTAL	Ambos sexos	2022	63.599
Total Nacional	03 Asturias, Principado de	75-79 años	TOTAL	Ambos sexos	2022	51.379
Total Nacional	03 Asturias, Principado de	80-84 años	TOTAL	Ambos sexos	2022	33.460
Total Nacional	03 Asturias, Principado de	85-89 años	TOTAL	Ambos sexos	2022	31.394
Total Nacional	03 Asturias, Principado de	90-94 años	TOTAL	Ambos sexos	2022	15.568
Total Nacional	03 Asturias, Principado de	95-99 años	TOTAL	Ambos sexos	2022	4.108
Total Nacional	03 Asturias, Principado de	100 años y más	TOTAL	Ambos sexos	2022	686
Total Nacional	04 Balears, Illes	65-69 años	TOTAL	Ambos sexos	2022	55.921
Total Nacional	04 Balears, Illes	70-74 años	TOTAL	Ambos sexos	2022	47.553
Total Nacional	04 Balears, Illes	75-79 años	TOTAL	Ambos sexos	2022	37.543
Total Nacional	04 Balears, Illes	80-84 años	TOTAL	Ambos sexos	2022	23.807
Total Nacional	04 Balears, Illes	85-89 años	TOTAL	Ambos sexos	2022	17.379
Total Nacional	04 Balears, Illes	90-94 años	TOTAL	Ambos sexos	2022	7.733
Total Nacional	04 Balears, Illes	95-99 años	TOTAL	Ambos sexos	2022	2.022
Total Nacional	04 Balears, Illes	100 años y más	TOTAL	Ambos sexos	2022	327
Total Nacional	05 Canarias	65-69 años	TOTAL	Ambos sexos	2022	113.101
Total Nacional	05 Canarias	70-74 años	TOTAL	Ambos sexos	2022	91.583
Total Nacional	05 Canarias	75-79 años	TOTAL	Ambos sexos	2022	72.734
Total Nacional	05 Canarias	80-84 años	TOTAL	Ambos sexos	2022	45.620
Total Nacional	05 Canarias	85-89 años	TOTAL	Ambos sexos	2022	33.106
Total Nacional	05 Canarias	90-94 años	TOTAL	Ambos sexos	2022	12.940
Total Nacional	05 Canarias	95-99 años	TOTAL	Ambos sexos	2022	3.013
Total Nacional	05 Canarias	100 años y más	TOTAL	Ambos sexos	2022	770
Total Nacional	06 Cantabria	65-69 años	TOTAL	Ambos sexos	2022	37.234
Total Nacional	06 Cantabria	70-74 años	TOTAL	Ambos sexos	2022	32.303
Total Nacional	06 Cantabria	75-79 años	TOTAL	Ambos sexos	2022	24.500
Total Nacional	06 Cantabria	80-84 años	TOTAL	Ambos sexos	2022	16.553
Total Nacional	06 Cantabria	85-89 años	TOTAL	Ambos sexos	2022	14.730
Total Nacional	06 Cantabria	90-94 años	TOTAL	Ambos sexos	2022	7.393
Total Nacional	06 Cantabria	95-99 años	TOTAL	Ambos sexos	2022	2.034
Total Nacional	06 Cantabria	100 años y más	TOTAL	Ambos sexos	2022	318
Total Nacional	07 Castilla y León	65-69 años	TOTAL	Ambos sexos	2022	153.172
Total Nacional	07 Castilla y León	70-74 años	TOTAL	Ambos sexos	2022	133.966
Total Nacional	07 Castilla y León	75-79 años	TOTAL	Ambos sexos	2022	116.110
Total Nacional	07 Castilla y León	80-84 años	TOTAL	Ambos sexos	2022	85.092
Total Nacional	07 Castilla y León	85-89 años	TOTAL	Ambos sexos	2022	78.685
Total Nacional	07 Castilla y León	90-94 años	TOTAL	Ambos sexos	2022	41.110
Total Nacional	07 Castilla y León	95-99 años	TOTAL	Ambos sexos	2022	12.082
Total Nacional	07 Castilla y León	100 años y más	TOTAL	Ambos sexos	2022	1.884
Total Nacional	08 Castilla - La Mancha	65-69 años	TOTAL	Ambos sexos	2022	102.525
Total Nacional	08 Castilla - La Mancha	70-74 años	TOTAL	Ambos sexos	2022	88.054
Total Nacional	08 Castilla - La Mancha	75-79 años	TOTAL	Ambos sexos	2022	72.720
Total Nacional	08 Castilla - La Mancha	80-84 años	TOTAL	Ambos sexos	2022	55.276
Total Nacional	08 Castilla - La Mancha	85-89 años	TOTAL	Ambos sexos	2022	47.033
Total Nacional	08 Castilla - La Mancha	90-94 años	TOTAL	Ambos sexos	2022	23.242
Total Nacional	08 Castilla - La Mancha	95-99 años	TOTAL	Ambos sexos	2022	5.802
Total Nacional	08 Castilla - La Mancha	100 años y más	TOTAL	Ambos sexos	2022	855
Total Nacional	09 Cataluña	65-69 años	TOTAL	Ambos sexos	2022	399.794
Total Nacional	09 Cataluña	70-74 años	TOTAL	Ambos sexos	2022	356.451
Total Nacional	09 Cataluña	75-79 años	TOTAL	Ambos sexos	2022	292.278
Total Nacional	09 Cataluña	80-84 años	TOTAL	Ambos sexos	2022	196.845
Total Nacional	09 Cataluña	85-89 años	TOTAL	Ambos sexos	2022	158.718
Total Nacional	09 Cataluña	90-94 años	TOTAL	Ambos sexos	2022	75.057
Total Nacional	09 Cataluña	95-99 años	TOTAL	Ambos sexos	2022	19.816
Total Nacional	09 Cataluña	100 años y más	TOTAL	Ambos sexos	2022	2.836
Total Nacional	10 Comunitat Valenciana	65-69 años	TOTAL	Ambos sexos	2022	280.503
Total Nacional	10 Comunitat Valenciana	70-74 años	TOTAL	Ambos sexos	2022	248.588
Total Nacional	10 Comunitat Valenciana	75-79 años	TOTAL	Ambos sexos	2022	200.662
Total Nacional	10 Comunitat Valenciana	80-84 años	TOTAL	Ambos sexos	2022	139.243
Total Nacional	10 Comunitat Valenciana	85-89 años	TOTAL	Ambos sexos	2022	95.850
Total Nacional	10 Comunitat Valenciana	90-94 años	TOTAL	Ambos sexos	2022	41.695
Total Nacional	10 Comunitat Valenciana	95-99 años	TOTAL	Ambos sexos	2022	10.093
Total Nacional	10 Comunitat Valenciana	100 años y más	TOTAL	Ambos sexos	2022	1.587
Total Nacional	11 Extremadura	65-69 años	TOTAL	Ambos sexos	2022	59.015
Total Nacional	11 Extremadura	70-74 años	TOTAL	Ambos sexos	2022	50.320
Total Nacional	11 Extremadura	75-79 años	TOTAL	Ambos sexos	2022	43.286
Total Nacional	11 Extremadura	80-84 años	TOTAL	Ambos sexos	2022	30.655
Total Nacional	11 Extremadura	85-89 años	TOTAL	Ambos sexos	2022	27.972
Total Nacional	11 Extremadura	90-94 años	TOTAL	Ambos sexos	2022	12.031
Total Nacional	11 Extremadura	95-99 años	TOTAL	Ambos sexos	2022	2.962
Total Nacional	11 Extremadura	100 años y más	TOTAL	Ambos sexos	2022	482
Total Nacional	12 Galicia	65-69 años	TOTAL	Ambos sexos	2022	169.539
Total Nacional	12 Galicia	70-74 años	TOTAL	Ambos sexos	2022	155.698
Total Nacional	12 Galicia	75-79 años	TOTAL	Ambos sexos	2022	139.592
Total Nacional	12 Galicia	80-84 años	TOTAL	Ambos sexos	2022	97.054
Total Nacional	12 Galicia	85-89 años	TOTAL	Ambos sexos	2022	87.711
Total Nacional	12 Galicia	90-94 años	TOTAL	Ambos sexos	2022	40.289
Total Nacional	12 Galicia	95-99 años	TOTAL	Ambos sexos	2022	10.708
Total Nacional	12 Galicia	100 años y más	TOTAL	Ambos sexos	2022	2.039
Total Nacional	13 Madrid, Comunidad de	65-69 años	TOTAL	Ambos sexos	2022	329.303
Total Nacional	13 Madrid, Comunidad de	70-74 años	TOTAL	Ambos sexos	2022	294.514
Total Nacional	13 Madrid, Comunidad de	75-79 años	TOTAL	Ambos sexos	2022	242.218
Total Nacional	13 Madrid, Comunidad de	80-84 años	TOTAL	Ambos sexos	2022	163.620
Total Nacional	13 Madrid, Comunidad de	85-89 años	TOTAL	Ambos sexos	2022	126.636
Total Nacional	13 Madrid, Comunidad de	90-94 años	TOTAL	Ambos sexos	2022	60.952
Total Nacional	13 Madrid, Comunidad de	95-99 años	TOTAL	Ambos sexos	2022	16.451
Total Nacional	13 Madrid, Comunidad de	100 años y más	TOTAL	Ambos sexos	2022	2.615
Total Nacional	14 Murcia, Región de	65-69 años	TOTAL	Ambos sexos	2022	68.983
Total Nacional	14 Murcia, Región de	70-74 años	TOTAL	Ambos sexos	2022	59.387
Total Nacional	14 Murcia, Región de	75-79 años	TOTAL	Ambos sexos	2022	46.825
Total Nacional	14 Murcia, Región de	80-84 años	TOTAL	Ambos sexos	2022	34.150
Total Nacional	14 Murcia, Región de	85-89 años	TOTAL	Ambos sexos	2022	24.445
Total Nacional	14 Murcia, Región de	90-94 años	TOTAL	Ambos sexos	2022	10.497
Total Nacional	14 Murcia, Región de	95-99 años	TOTAL	Ambos sexos	2022	2.278
Total Nacional	14 Murcia, Región de	100 años y más	TOTAL	Ambos sexos	2022	274
Total Nacional	15 Navarra, Comunidad Foral de	65-69 años	TOTAL	Ambos sexos	2022	35.340
Total Nacional	15 Navarra, Comunidad Foral de	70-74 años	TOTAL	Ambos sexos	2022	31.325
Total Nacional	15 Navarra, Comunidad Foral de	75-79 años	TOTAL	Ambos sexos	2022	26.473
Total Nacional	15 Navarra, Comunidad Foral de	80-84 años	TOTAL	Ambos sexos	2022	17.410
Total Nacional	15 Navarra, Comunidad Foral de	85-89 años	TOTAL	Ambos sexos	2022	14.546
Total Nacional	15 Navarra, Comunidad Foral de	90-94 años	TOTAL	Ambos sexos	2022	7.196
Total Nacional	15 Navarra, Comunidad Foral de	95-99 años	TOTAL	Ambos sexos	2022	2.048
Total Nacional	15 Navarra, Comunidad Foral de	100 años y más	TOTAL	Ambos sexos	2022	278
Total Nacional	16 País Vasco	65-69 años	TOTAL	Ambos sexos	2022	133.219
Total Nacional	16 País Vasco	70-74 años	TOTAL	Ambos sexos	2022	119.549
Total Nacional	16 País Vasco	75-79 años	TOTAL	Ambos sexos	2022	100.442
Total Nacional	16 País Vasco	80-84 años	TOTAL	Ambos sexos	2022	67.431
Total Nacional	16 País Vasco	85-89 años	TOTAL	Ambos sexos	2022	57.153
Total Nacional	16 País Vasco	90-94 años	TOTAL	Ambos sexos	2022	26.971
Total Nacional	16 País Vasco	95-99 años	TOTAL	Ambos sexos	2022	6.864
Total Nacional	16 País Vasco	100 años y más	TOTAL	Ambos sexos	2022	888
Total Nacional	17 Rioja, La	65-69 años	TOTAL	Ambos sexos	2022	17.934
Total Nacional	17 Rioja, La	70-74 años	TOTAL	Ambos sexos	2022	15.605
Total Nacional	17 Rioja, La	75-79 años	TOTAL	Ambos sexos	2022	13.171
Total Nacional	17 Rioja, La	80-84 años	TOTAL	Ambos sexos	2022	8.980
Total Nacional	17 Rioja, La	85-89 años	TOTAL	Ambos sexos	2022	8.012
Total Nacional	17 Rioja, La	90-94 años	TOTAL	Ambos sexos	2022	3.915
Total Nacional	17 Rioja, La	95-99 años	TOTAL	Ambos sexos	2022	1.091
Total Nacional	17 Rioja, La	100 años y más	TOTAL	Ambos sexos	2022	143
Total Nacional	18 Ceuta	65-69 años	TOTAL	Ambos sexos	2022	3.516
Total Nacional	18 Ceuta	70-74 años	TOTAL	Ambos sexos	2022	2.367
Total Nacional	18 Ceuta	75-79 años	TOTAL	Ambos sexos	2022	1.913
Total Nacional	18 Ceuta	80-84 años	TOTAL	Ambos sexos	2022	1.283
Total Nacional	18 Ceuta	85-89 años	TOTAL	Ambos sexos	2022	844
Total Nacional	18 Ceuta	90-94 años	TOTAL	Ambos sexos	2022	365
Total Nacional	18 Ceuta	95-99 años	TOTAL	Ambos sexos	2022	81
Total Nacional	18 Ceuta	100 años y más	TOTAL	Ambos sexos	2022	23
Total Nacional	19 Melilla	65-69 años	TOTAL	Ambos sexos	2022	3.434
Total Nacional	19 Melilla	70-74 años	TOTAL	Ambos sexos	2022	2.153
Total Nacional	19 Melilla	75-79 años	TOTAL	Ambos sexos	2022	1.664
Total Nacional	19 Melilla	80-84 años	TOTAL	Ambos sexos	2022	1.118
Total Nacional	19 Melilla	85-89 años	TOTAL	Ambos sexos	2022	728
Total Nacional	19 Melilla	90-94 años	TOTAL	Ambos sexos	2022	322
Total Nacional	19 Melilla	95-99 años	TOTAL	Ambos sexos	2022	74
Total Nacional	19 Melilla	100 años y más	TOTAL	Ambos sexos	2022	21
